,variable,value,status
0,0hr,-2.0816681711721685e-17,bad
1,0hr,0.0,bad
2,0hr,5.551115123125783e-17,bad
3,0hr,-2.7755575615628914e-17,bad
4,0hr,1.6653345369377348e-16,bad
5,0hr,0.0,bad
6,0hr,-5.551115123125783e-17,bad
7,0hr,-5.551115123125783e-17,bad
8,0hr,-2.7755575615628914e-17,bad
9,0hr,8.326672684688674e-17,bad
10,12hr,1.858766884590123,bad
11,12hr,2.5105229663235287,bad
12,12hr,2.396758992283374,bad
13,12hr,1.8892865290152714,bad
14,12hr,2.1282574322618695,bad
15,12hr,2.297684924014634,bad
16,12hr,1.5908561836089,bad
17,12hr,2.1145014581448587,bad
18,12hr,2.291998558558146,bad
19,12hr,2.3801639283810276,bad
20,24hr,0.9775435298411889,bad
21,24hr,1.0746080649153167,bad
22,24hr,1.3288657409933267,bad
23,24hr,1.482839304702617,bad
24,24hr,1.5652843489842825,bad
25,24hr,0.7145590897744903,bad
26,24hr,1.0968167095484738,bad
27,24hr,1.515192221868983,bad
28,24hr,1.4465133606541407,bad
29,24hr,1.4289709016479946,bad
30,36hr,-0.42621986784749755,bad
31,36hr,0.215957529417467,bad
32,36hr,0.9279286051233582,bad
33,36hr,0.9753664696643991,bad
34,36hr,0.8471229075868268,bad
35,36hr,0.154475142375489,bad
36,36hr,0.41539272480573236,bad
37,36hr,0.8304467753527656,bad
38,36hr,1.0952922935549843,bad
39,36hr,0.6643552746559378,bad
40,48hr,-0.7425105588568711,bad
41,48hr,1.7072970690992897,bad
42,48hr,2.1311431427360006,bad
43,48hr,2.697532236724803,bad
44,48hr,2.505502996710665,bad
45,48hr,1.320329089235514,bad
46,48hr,2.544689037358575,bad
47,48hr,2.511181544420631,bad
48,48hr,2.579721755767956,bad
49,48hr,2.1708586306581092,bad
50,72hr,-0.4249551807483771,bad
51,72hr,0.5170719562291887,bad
52,72hr,0.7968919425618544,bad
53,72hr,0.6628870178400471,bad
54,72hr,0.8888138256498898,bad
55,72hr,0.48765045166721405,bad
56,72hr,0.5031259796455388,bad
57,72hr,0.7659101298427475,bad
58,72hr,1.1890879312496256,bad
59,72hr,1.2549383924007422,bad
